idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1618,80.9,-14.812975620432722,7.000000000000014,-6.000000000000012,0.22154702034267615,0.0,0.0,0.12457230812454867,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1619,80.95,-14.801742545573536,7.000000000000014,-6.000000000000012,0.22775985199157134,0.0,0.0,0.12392318969780547,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1620,81.0,-14.790199635233565,7.000000000000014,-6.000000000000012,0.2339393393124567,0.0,0.0,0.12322681902023902,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1621,81.05000000000001,-14.77834861164229,7.000000000000014,-6.000000000000012,0.24008253389359524,0.0,0.0,0.1224768797815301,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1622,81.10000000000001,-14.766191381844205,7.000000000000014,-6.000000000000012,0.2461870272906097,0.0,0.0,0.12170763159868869,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1623,81.15,-14.753729908913229,7.000000000000014,-6.000000000000012,0.2522532970534641,0.0,0.0,0.12097679441787079,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1624,81.2,-14.740966052138859,7.000000000000014,-6.000000000000012,0.2582847067323968,0.0,0.0,0.12033844202612443,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1625,81.25,-14.72790143823999,7.000000000000014,-6.000000000000012,0.26428714125607655,0.0,0.0,0.11984222714698234,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1626,81.30000000000001,-14.714537338013251,7.000000000000014,-6.000000000000012,0.270268929447095,0.0,0.0,0.11950837027043804,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1627,81.35000000000001,-14.70087454529528,7.000000000000014,-6.000000000000012,0.27623797828312036,0.0,0.0,0.11929482043022688,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1628,81.4,-14.686913540184939,7.000000000000014,-6.000000000000012,0.2821984114901177,0.0,0.0,0.11912144660559676,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1629,81.45,-14.672654704146268,7.000000000000014,-6.000000000000012,0.28815012294368003,0.0,0.0,0.11890355501833483,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1630,81.5,-14.658098527890571,7.000000000000014,-6.000000000000012,0.2940887669919512,0.0,0.0,0.11856026306737988,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1631,81.55000000000001,-14.643245827447073,7.000000000000014,-6.000000000000012,0.300006149250418,0.0,0.0,0.11804963913650823,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1632,81.60000000000001,-14.62809791296553,7.000000000000014,-6.000000000000012,0.305893730905602,0.0,0.0,0.1173957906432932,0.0,0.0,0.0,70.0,255.0,255.0,255.0
